case,problem,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,label,cache_hit_rate,parallelism,n_elig
case_090,2,5,1178363,278394,4.2327,9475584,v32_bandcomp_w6,0,13.56,1664
case_090,3,2,1178363,427437,2.7568,2997504,v35_bandcomp_w2,0.17019335457074883,13.56,1664
case_090,3,3,1178363,305628,3.8555,5017344,v32_bandcomp_w4,0.45986425085544397,13.56,1664
case_090,3,4,1178363,257353,4.5788,10702080,v33_bandref_w10,0.5978938175938496,13.56,1664
case_090,3,5,1178363,228175,5.1643,12556800,v39_bseed_seed1-window10,0.5818729318332231,13.56,1664
case_091,1,2,9186769,4647867,1.9766,112553992,v35_bandref_w32,0,156.41,31554
case_091,1,3,9186769,3131661,2.9335,112677900,v35_bandref_w24,0,156.41,31554
case_091,1,4,9186769,2371379,3.874,112553992,v35_bandref_w32,0,156.41,31554
case_091,1,5,9186769,2026198,4.534,112351252,v32_bandcomp_w16,0,156.41,31554
case_091,2,2,9186769,4525012,2.0302,52049964,v33_bandref_w10,0,156.41,31554
case_091,2,3,9186769,3033832,3.0281,61749356,v39_btol_tol0.4-window10,0,156.41,31554
case_091,2,4,9186769,2306604,3.9828,61945044,v32_bandcomp_w10,0,156.41,31554
case_091,2,5,9186769,1853462,4.9565,66775560,v39_bseed_seed3-window10,0,156.41,31554
case_091,3,2,9186769,4524027,2.0307,52049964,v33_bandref_w10,0.34292825240117913,156.41,31554
case_091,3,3,9186769,3026414,3.0355,61749356,v39_btol_tol0.4-window10,0.44641323848298,156.41,31554
case_091,3,4,9186769,2284729,4.0209,61945044,v32_bandcomp_w10,0.5417188019236602,156.41,31554
case_091,3,5,9186769,1829987,5.0201,66775560,v39_bseed_seed3-window10,0.5845914260673494,156.41,31554
case_092,1,2,4815554,2142252,2.2479,28942944,v17_wave_w8,0,115.7,17608
case_092,1,3,4815554,2698792,1.7843,123276480,v17_wave_w1,0,115.7,17608
case_092,1,4,4815554,1983590,2.4277,70356448,v39_slack_mult4-slack0.35,0,115.7,17608
case_092,1,5,4815554,2370424,2.0315,125137280,v17_wave_w1,0,115.7,17608
case_092,2,2,4815554,1997970,2.4102,5116512,v33_bandref_w14,0,115.7,17608
case_092,2,3,4815554,1327574,3.6273,18644160,v33_bandref_w10,0,115.7,17608
case_092,2,4,4815554,1001092,4.8103,15449888,v33_bandref_w10,0,115.7,17608
case_092,2,5,4815554,810203,5.9436,3950976,v17_wave_w1,0,115.7,17608
case_092,3,2,4815554,1997970,2.4102,5116512,v33_bandref_w14,0.0,115.7,17608
case_092,3,3,4815554,1325318,3.6335,14906560,v34_bandref_w12,0.07224426343164833,115.7,17608
case_092,3,4,4815554,1001098,4.8103,15449888,v33_bandref_w10,0.027816141808676993,115.7,17608
case_092,3,5,4815554,805286,5.9799,12863872,v33_bandref_w14,0.1991527381961026,115.7,17608
case_093,1,2,74205,38181,1.9435,40960,v31_grow_mv_m3,0,171.4,552
case_093,1,3,74205,26640,2.7855,135168,v15_level_m4,0,171.4,552
case_093,1,4,74205,21631,3.4305,233472,v31_grow_mv_m8,0,171.4,552
case_093,1,5,74205,16879,4.3963,73728,v31_grow_mv_m3,0,171.4,552
case_093,2,2,74205,37536,1.9769,12288,v15_level_m2,0,171.4,552
case_093,2,3,74205,25103,2.956,16384,v32_bandcomp_w4,0,171.4,552
case_093,2,4,74205,19671,3.7723,102400,v31_grow_mv_m8,0,171.4,552
case_093,2,5,74205,15876,4.674,32768,v31_grow_mv_m3,0,171.4,552
case_093,3,2,74205,37536,1.9769,12288,v15_level_m2,0.0,171.4,552
case_093,3,3,74205,25103,2.956,16384,v32_bandcomp_w4,0.0,171.4,552
case_093,3,4,74205,19617,3.7827,102400,v31_grow_mv_m8,0.01929260450160772,171.4,552
case_093,3,5,74205,15639,4.7449,110592,v31_grow_mv_m6,0.0380952380952381,171.4,552
case_094,1,2,94892,50086,1.8946,462112,v31_grow_count_m8,0,23.38,647
case_094,1,3,94892,36158,2.6244,502272,grow_m8,,23.38,647
case_094,1,4,94892,27451,3.4568,502272,grow_m6,,23.38,647
case_094,1,5,94892,24518,3.8703,511488,grow_m5,,23.38,647
case_094,2,2,94892,41129,2.3072,398112,v33_bandref_w14,0,23.38,647
case_094,2,3,94892,30958,3.0652,417356,v39_btol_tol0.15-window10,0,23.38,647
case_094,2,4,94892,24624,3.8536,262656,grow_m6,,23.38,647
case_094,2,5,94892,20850,4.5512,396288,grow_m6,,23.38,647
case_094,3,2,94892,40955,2.317,398112,v33_bandref_w14,0.16248574686431014,23.38,647
case_094,3,3,94892,30958,3.0652,417356,v39_btol_tol0.15-window10,0.22525047903102427,23.38,647
